adjust_temp,ApplStandard,Brand,Cap,Country,Decl Stand Heat,Depth,Gross Store Cap,Heating Elements,Height,Label-MEPSNZ,Model No,Family Name,N-Standard,N-Standard_MEPS,Sold_in,Submit_ID,SubmitStatus,tot_expan_valves,tot_feed_tanks,tot_hotwat_fittings,TPR Valves,Type,vent_displacement,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
False,AS/NZS 4692.2:2005,Rheem,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.603,405.0,25.0,,390.0,MEPS-NZ2003-electric,31202519 MP 25L 405x385H 2.4kW,,NZ 4606.1,NZS 4606.1-1989,New Zealand,39625,Approved,0,0,0,1,Unvented/Displacement (max >120kPA),,405.0,,,,Unavailable,,
True,AS/NZS 4692.2:2005,SUPERHEAT,Not Applicable - Application for MEPS in NZ Only,New Zealand,2.24,560.0,280.0,,1800.0,MEPS-NZ2003-electric,H280S,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,39678,Approved,0,0,0,1,Unvented/Displacement (max >120kPA),,560.0,,,,Unavailable,https://www.superheat.co.nz,
True,AS/NZS 4692.2:2005,SUPERHEAT,Not Applicable - Application for MEPS in NZ Only,New Zealand,2.24,560.0,280.0,,1800.0,MEPS-NZ2003-electric,H280SOLARCOIL,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,39678,Approved,0,0,0,1,Unvented/Displacement (max >120kPA),,560.0,,,,Unavailable,https://www.superheat.co.nz,
True,AS/NZS 4692.2:2005,SUPERHEAT,Not Applicable - Application for MEPS in NZ Only,New Zealand,2.24,560.0,280.0,,1800.0,MEPS-NZ2003-electric,H280WETBACKCOIL,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,39678,Approved,0,0,0,1,Unvented/Displacement (max >120kPA),,560.0,,,,Unavailable,https://www.superheat.co.nz,
False,AS/NZS 4692.2:2005,Rheem,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.691,405.0,45.0,,390.0,MEPS-NZ2003-electric,31204515           MP 45L 488x535H 3kW,,NZ 4606.1,NZS 4606.1-1989,New Zealand,39701,Approved,0,0,0,0,Unvented/Displacement (max >120kPA),,405.0,,,,Unavailable,,
True,AS/NZS 4692.2:2005,SE,Not Applicable - Application for MEPS in NZ Only,China,1.85,560.0,250.0,,1995.0,MEPS-NZ2003-electric,SE 250,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,39880,Approved,0,0,0,1,Heat Exchange,,560.0,,,Class 3,Unavailable,,
False,AS/NZS 4692.2:2005,Rheem,6,New Zealand,0.902,390.0,11.5,,730.0,not-NZ-MEPS,750015AU,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),Australia,39937,Approved,0,0,0,1,Unvented/Displacement (max >120kPA),,380.0,,,Class 1,Unavailable,,
False,AS/NZS 4692.2:2005,Rheem,6,New Zealand,0.902,390.0,11.5,,730.0,not-NZ-MEPS,750015AU-E,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),Australia,39937,Approved,0,0,0,1,Unvented/Displacement (max >120kPA),,380.0,,,Class 1,Unavailable,,
False,AS/NZS 4692.2:2005,Rheem,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.028,488.0,90.0,,955.0,MEPS-NZ2003-electric,31209015 MP 90L 488x955H 3kW,,NZ 4606.1,NZS 4606.1-1989,New Zealand,39981,Approved,0,0,0,0,Unvented/Displacement (max >120kPA),,488.0,,,,Unavailable,,
False,AS/NZS 4692.2:2005,Rheem,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.499,488.0,180.0,,1720.0,MEPS-NZ2003-electric,31218013 MP 180L 488x1720H 2kW,,NZ 4606.1,NZS 4606.1-1989,New Zealand,39985,Approved,0,0,0,0,Unvented/Displacement (max >120kPA),,488.0,,,,Unavailable,,
