"app","powerkW","star","Configuration1"
"aircon",0.88,2,"Non Ducted"
"aircon",0.88,2,"Non Ducted"
"aircon",1.39,2,"Non Ducted"
"aircon",1.39,2,"Non Ducted"
"aircon",1.39,2,"Non Ducted"
"aircon",2,2,"Non Ducted"
"aircon",2,2,"Non Ducted"
"aircon",2,2,"Non Ducted"
"aircon",2.325,2,"Non Ducted"
"aircon",2.325,2,"Non Ducted"
"aircon",2.325,2,"Non Ducted"
"aircon",6.75,0,"Both"
"aircon",9.1,0,"Both"
"aircon",10.435,0,"Both"
"aircon",0.675,3,"Non Ducted"
"aircon",0.84,2,"Non Ducted"
"aircon",1.51,2,"Non Ducted"
"aircon",2.075,1,"Non Ducted"
"aircon",2.375,1,"Non Ducted"
"aircon",4.875,0,"Ducted"
"aircon",3.86,1,"Non Ducted"
"aircon",3.695,1,"Non Ducted"
"aircon",3.695,1,"Non Ducted"
"aircon",3.695,1,"Non Ducted"
"aircon",6.775,0,"Both"
"aircon",2.145,1,"Non Ducted"
"aircon",3.835,1,"Non Ducted"
"aircon",3.79,0,"Ducted"
"aircon",3.065,0,"Ducted"
"aircon",8.9,0,"Both"
"aircon",10.085,0,"Both"
"aircon",0.58,4,"Non Ducted"
"aircon",0.835,3,"Non Ducted"
"aircon",3.14,1,"Non Ducted"
"aircon",2.225,0,"Ducted"
"aircon",3.82,1,"Non Ducted"
"aircon",3.115,1,"Ducted"
"aircon",3.035,0,"Ducted"
"aircon",3.79,2,"Ducted"
"aircon",3.75,0,"Ducted"
"aircon",3.75,0,"Ducted"
"aircon",3.75,0,"Ducted"
"aircon",3.75,0,"Ducted"
"aircon",3.605,2,"Non Ducted"
"aircon",3.84,0,"Ducted"
"aircon",4.29,0,"Ducted"
"aircon",4.65,0,"Ducted"
"aircon",4.275,2,"Ducted"
"aircon",4.8,2,"Ducted"
"aircon",2.26,1,"Ducted"
"aircon",3.03,1,"Ducted"
"aircon",3.865,2,"Ducted"
"aircon",4.37,2,"Ducted"
"aircon",4.8,2,"Ducted"
"aircon",1.76,1,"Ducted"
"aircon",1.65,1,"Ducted"
"aircon",2.26,1,"Ducted"
"aircon",5.145,0,"Ducted"
"aircon",0.675,3,"Non Ducted"
"aircon",0.84,2,"Non Ducted"
"aircon",1.51,2,"Non Ducted"
"aircon",2.075,1,"Non Ducted"
"aircon",2.375,1,"Non Ducted"
"aircon",3.655,0,"Ducted"
"aircon",4.22,0,"Ducted"
"aircon",5,0,"Ducted"
"aircon",0.63,3,"Non Ducted"
"aircon",2.745,0,"Ducted"
"aircon",2.975,0,"Ducted"
"aircon",0.565,4,"Non Ducted"
"aircon",2.1,0,"Ducted"
"aircon",2.55,0,"Ducted"
"aircon",3.245,0,"Ducted"
"aircon",5.545,0,"Ducted"
"aircon",5.545,0,"Ducted"
"aircon",5.545,0,"Ducted"
"aircon",3.84,0,"Ducted"
"aircon",2.725,0,"Non Ducted"
"aircon",3.755,0,"Non Ducted"
"aircon",1.325,0,"Non Ducted"
"aircon",1.89,0,"Non Ducted"
"aircon",2.42,0,"Non Ducted"
"aircon",3.76,0,"Non Ducted"
"aircon",3.64,0,"Non Ducted"
"aircon",4.275,0,"Non Ducted"
"aircon",3,0,"Non Ducted"
"aircon",4.2,0,"Non Ducted"
"aircon",4.2,0,"Non Ducted"
"aircon",2.825,0,"Non Ducted"
"aircon",3.77,0,"Non Ducted"
"aircon",3,0,"Non Ducted"
"aircon",5.545,0,"Ducted"
"aircon",7.195,0,"Ducted"
"aircon",9.1,0,"Ducted"
"aircon",2.045,0,"Non Ducted"
"aircon",1.225,0,"Ducted"
"aircon",1.65,0,"Ducted"
"aircon",6.405,0,"Ducted"
"aircon",4.81,0,"Ducted"
"aircon",4.81,0,"Ducted"
"aircon",4.81,0,"Ducted"
"aircon",4.19,0,"Ducted"
"aircon",4.19,0,"Ducted"
"aircon",4.19,0,"Ducted"
"aircon",2.015,0,"Ducted"
"aircon",12.495,0,"Ducted"
"aircon",3.775,0,"Non Ducted"
"aircon",3.87,0,"Non Ducted"
"aircon",5.5,0,"Ducted"
"aircon",5.5,0,"Ducted"
"aircon",1.065,0,"Ducted"
"aircon",4.285,0,"Ducted"
"aircon",0.49,4,"Non Ducted"
"aircon",5.085,0,"Ducted"
"aircon",2.1,0,"Ducted"
"aircon",3.245,0,"Ducted"
"aircon",3.835,0,"Ducted"
"aircon",4.46,0,"Ducted"
"aircon",5.55,0,"Ducted"
"aircon",7.195,0,"Ducted"
"aircon",9.17,0,"Ducted"
"aircon",2.55,0,"Ducted"
"aircon",0.585,4,"Non Ducted"
"aircon",0.84,3,"Non Ducted"
"aircon",1.305,2,"Non Ducted"
"aircon",1.24,3,"Non Ducted"
"aircon",1.61,2,"Non Ducted"
"aircon",1.955,2,"Non Ducted"
"aircon",2.745,0,"Ducted"
"aircon",2.015,0,"Ducted"
"aircon",2.725,0,"Non Ducted"
